Category Code,Product Code,Name,Length (mm),Width (mm),Height (mm),Weight (gms),ISBN,Color,Size,Brand,Base Price,Cost Price,MRP,Enabled,Type,Component Product Code,Internal Style Name,Component Quantity,Component Price,HSN CODE,Tax Calculation Type,Material
12 Pack Cotton Bib,12_BIB_MS_OH_PP_SE_UW_BF,"12 Pack BIB | Lavendar, Orange, Penguin, Space, Underwater, Bear",210,180,40,240,,,Standard,Orange Sugar,1350,300,1350,TRUE,BUNDLE,BIB_MS,Mauve Shadows,1,225,61112000,PRICE_OF_BUNDLE_SKU,
12 Pack Cotton Bib,12_BIB_MS_OH_PP_SE_UW_BF,"12 Pack BIB | Lavendar, Orange, Penguin, Space, Underwater, Bear",210,180,40,240,,,Standard,Orange Sugar,1350,300,1350,TRUE,BUNDLE,BIB_OH,Orange Heaven,1,225,61112000,PRICE_OF_BUNDLE_SKU,
12 Pack Cotton Bib,12_BIB_MS_OH_PP_SE_UW_BF,"12 Pack BIB | Lavendar, Orange, Penguin, Space, Underwater, Bear",210,180,40,240,,,Standard,Orange Sugar,1350,300,1350,TRUE,BUNDLE,BIB_PP,Party Penguin,1,225,61112000,PRICE_OF_BUNDLE_SKU,
12 Pack Cotton Bib,12_BIB_MS_OH_PP_SE_UW_BF,"12 Pack BIB | Lavendar, Orange, Penguin, Space, Underwater, Bear",210,180,40,240,,,Standard,Orange Sugar,1350,300,1350,TRUE,BUNDLE,BIB_SE,Space Explorer,1,225,61112000,PRICE_OF_BUNDLE_SKU,
12 Pack Cotton Bib,12_BIB_MS_OH_PP_SE_UW_BF,"12 Pack BIB | Lavendar, Orange, Penguin, Space, Underwater, Bear",210,180,40,240,,,Standard,Orange Sugar,1350,300,1350,TRUE,BUNDLE,BIB_UW,Underwater Wonders,1,225,61112000,PRICE_OF_BUNDLE_SKU,
12 Pack Cotton Bib,12_BIB_MS_OH_PP_SE_UW_BF,"12 Pack BIB | Lavendar, Orange, Penguin, Space, Underwater, Bear",210,180,40,240,,,Standard,Orange Sugar,1350,300,1350,TRUE,BUNDLE,BIB_BF,Bear Forest,1,225,61112000,PRICE_OF_BUNDLE_SKU,
12 Pack Cotton Bib,12_BIB_PP_SE_UW_BF_AO_JS,"12 Pack BIB | Penguin, Space, Underwater, Bear, Apple, Jungle",210,180,40,240,,,Standard,Orange Sugar,1350,300,1350,TRUE,BUNDLE,BIB_PP,Party Penguin,1,225,61112000,PRICE_OF_BUNDLE_SKU,
12 Pack Cotton Bib,12_BIB_PP_SE_UW_BF_AO_JS,"12 Pack BIB | Penguin, Space, Underwater, Bear, Apple, Jungle",210,180,40,240,,,Standard,Orange Sugar,1350,300,1350,TRUE,BUNDLE,BIB_SE,Space Explorer,1,225,61112000,PRICE_OF_BUNDLE_SKU,
12 Pack Cotton Bib,12_BIB_PP_SE_UW_BF_AO_JS,"12 Pack BIB | Penguin, Space, Underwater, Bear, Apple, Jungle",210,180,40,240,,,Standard,Orange Sugar,1350,300,1350,TRUE,BUNDLE,BIB_UW,Underwater Wonders,1,225,61112000,PRICE_OF_BUNDLE_SKU,
12 Pack Cotton Bib,12_BIB_PP_SE_UW_BF_AO_JS,"12 Pack BIB | Penguin, Space, Underwater, Bear, Apple, Jungle",210,180,40,240,,,Standard,Orange Sugar,1350,300,1350,TRUE,BUNDLE,BIB_BF,Bear Forest,1,225,61112000,PRICE_OF_BUNDLE_SKU,
12 Pack Cotton Bib,12_BIB_PP_SE_UW_BF_AO_JS,"12 Pack BIB | Penguin, Space, Underwater, Bear, Apple, Jungle",210,180,40,240,,,Standard,Orange Sugar,1350,300,1350,TRUE,BUNDLE,BIB_AO,Apple Orchard,1,225,61112000,PRICE_OF_BUNDLE_SKU,
12 Pack Cotton Bib,12_BIB_PP_SE_UW_BF_AO_JS,"12 Pack BIB | Penguin, Space, Underwater, Bear, Apple, Jungle",210,180,40,240,,,Standard,Orange Sugar,1350,300,1350,TRUE,BUNDLE,BIB_JS,Jungle Safari,1,225,61112000,PRICE_OF_BUNDLE_SKU,
12 Pack Muslin Langoti,12_MLG_BH_SW_BE_RB_SB_WT,"12 Pack Muslin Langoti | Black Heart, Swing, Blue Elephant, Rainbow, Strawberry, White Truck",210,180,80,600,,,0-6M,Orange Sugar,1500,600,1500,TRUE,BUNDLE,MLG_BH,Black Heart,1,250,63013000,PRICE_OF_BUNDLE_SKU,
