Official Print's Name,Code,Color
Adventure Ride,AR,Maroon
Air Force Blue,AFB,Air Force Blue
Animal Kingdom,AK,Maroon
Apple Orchard,AO,Peach
Aqua Orange,OA,Turquoise
Aqua World,AW,Sky Blue
Back Pack,BP,Light Blue
Balloon Ride,BRD,Multi Color
Bear Forest,BF,White
Bee Balloons,BE,Magenta
Beep Truck,BT,Brown
Beet Workout,BW,Off White
Beetle Brown,BBR,Beetle Brown
Beige,BG,Beige
Berry Bliss,BB,Maroon
Bird Day,BD,Off White
Biscuit Brown,CBBS,Biscuit Brown
Black,BL,Black
Black Dots,BD,Off White
Black Heart,BH,Multi Color
Black Stripes,BLS,Black
Blue,BLU,Blue
Blue Elephant,BE,Magenta
Blue Stripes,BUS,Blue
Bottle Green,BO,Bottle Green
Breeze Weave,BZE,Aqua Solid
Brown,BR,Brown
Camp Buddies,CB,Brown
Captain Teddy,CT,Black
Car Ride,CR,White
Carnival,CL,Royal Blue
Cheetah Chase,CC,Dark Green
Christmas Jingles,CJ,Green
Circus Stars,CS,Lime
Coastal Green Hearts,CGH,Coastal Green
Color Block Green,CBG,Colour Block Green
Colour Block Black,CBBL,Black
Colour Block Blue,CBBU,Blue
Colour Block Brown,CBB,Brown
Colour Block Olive Green,CBOG,Olive Green
Coral Pink Hearts,PH,Coral Pink
Detective Teddy,DT,Sky Blue
Diesel Blue,RB,Diesel Blue
Dino Land,DL,Cream
Dinosaur,DS,Multi Color
Farm Animals,FA,Peach
Fearless Lion,FE,Black
Firefly Magic,FM,Wine
Flower,FL,Multi Color
Fly High,FH,Diesel Blue
Football,FB,Blue
Forest Stripes,FS,Green
Formula Racing,FR,Blue
Fox,FO,Multi Color
Fox On The Go,FG,Brown
Frosty Treat,FT,Off White
Furry Friend,FF,Off White
Galaxy Glow,GG,Pale Green
Game Day,GA,Green
Game Mode,GM,Black
Garden Fun,GF,Light Pink
Gardening,GD,Off White
Giraffe,GI,Multi Color
Giraffe Beep,GB,Off-White
Giraffe Joy,GJ,Apricot
Goal Time,GT,Indigo Blue
Green,GE,Green
Green Island,GI,Multi Color
Green Stripes,GS,Green
Grey,GR,Grey
Grey Hearts,GH,Grey
Half Moon,HM,Multi Color
Halloween,HL,Black
Honey Brown,HB,Honey Brown
Hot Air Balloon,HAB,Navy Blue
Icecream,IC,Multi Color
Indigo Blue,IB,Indigo Blue
JCB Adventure,JCB,Peach
Jet Set Blue,JSB,Blue
Jingle Joy,JNJ,Green
Jolly Giraffe,JG,Multi Color
Jungle,JG,Multi Color
Jungle Jingles,JJG,Multi Color
Jungle Safari,JS,Green
Jurassic Joy,JJ,White
Kites,KT,Sky Blue
Koala,KL,Multi Color
Korea Love,KR,Green
Lemon Joy,LJ,White
Light Green,SLG,Light Green
Light Lavender Tulips,LT,Light Lavender
Lime,LM,Lime
Little Cherries,LC,Peach
Little Comet,LCO,Black
Little Rockstar,LR,Airforce Blue
Little Sailor,LS,Multi Color
Little Zoo,LZ,Dark Brown
Maroon,MR,Maroon
Mauve Shadows,MS,Lavendar
Melange Grey,ME,Melange Grey
Mini Camera,MC,Green
Mini Ocean,MO,Bottle Green
Mint Stripes,MIS,Green
Moon Light,ML,Orange
Music Buddy,MB,Yellow
Ocean,OC,Multi Color
Off White,SW,Off White
Olive Earth,OE,Olive Brown
Olive Green,OG,Olive Green
Orange,SO,Orange
Orange Bliss,OB,Lime Green
Orange Heaven,OH,Off White
Orange Stripes,OS,Orange
Party Penguin,PP,Grey
Pasta,PS,Brown
Peek A Boo,PAB,Blue
Penguin Chill,PC,Brown
Penguin Float,PF,Grey
Picnic Paradise,PD,White
Pine Grove,PNG,Green
Pink,PI,Pink
Pink Bird,PB,Multi Color
Pizza Party,PZ,Brown
Plane Ride,PR,Cream
Play Time,PT,Cyan
Playful Signals,PFS,Light Blue
Pointelle Grey,PG,Grey
Pointelle Lavender,PL,Lavender
Popcorn,PO,Lavender
Race Day,RD,Grey
Racing Cars,RC,Lavender
Rainbow,RB,Diesel Blue
Real Heroes,RH,Olive Green
Red,RE,Red
Red Elephant,RE,Red
Road Runner,RR,White
Road Trip,RT,Mustard
Rocket,RK,Soft Red
Royal Blue,RB,Diesel Blue
Rustic Mocha,RM,Rust Solid
Sand Dune Stripes,SDS,Light Brown
Santa Magic,SAN,Blue
Scam Blue,SBU,Scam Blue
School Bus,SCB,Air Force Blue
Skyblue Tulips,SBT,Sky Blue
Snow Penguin,SP,Melange Grey
Snowy Joy,SJ,Royal Blue
Solid Grey,SG,Grey
Space Explorer,SE,Navy
Space Kid,SK,Black
Space Ship,SSP,Brown
Spikey,SY,Multi Color
Spikey & Sweet,SS,White
Sporty Giraffe,SGI,Navy Blue
Starry Safari,SSF,Multi Color
Strawberry,SB,Multi Color
Street,ST,Multi Color
Summer Sky,SSY,Sky Blue
Sun And Surf,SAS,Pale Blue
Sweet Mangoes,SM,Light Yellow
Sweet Oranges,SOG,Multi Color
Sweet Treats,ST,Multi Color
Swing,SW,Off White
Tales Of India,TI,Cream
Three Little Cars,TLC,Black
Tiger Ride,TR,Deep Lemon
Tiny Traveller,TT,Black
Tiny Wings,TW,Cream
UFO Adventure,UFO,Beetle Brown
Underwater Wonders,UW,Sky Blue
White,WH,White
White Truck,WT,Multi Color
White Tulips,WHT,White
Wild Pals,WP,Olive Green
Wine,WN,Wine
Winterland,WL,Off White
Yellow Stripes,YS,Yellow
Yummy Breakfast,YB,Multi Color
Zebra Stripes,ZS,Black
Zoo,ZO,Multi Color
