category,size,weight
12 Pack Cotton Bib,Standard,300
12 Pack Muslin Langoti,Standard,330
12 Pack Muslin Napkin,Standard,96
12 Pack Muslin Wash Cloth,Standard,96
2 Pack Cotton Bib,Standard,50
2 Pack Cotton Joggers,9-12M,136
2 Pack Cotton Joggers,12-18M,158
2 Pack Cotton Joggers,18-24M,174
2 Pack Cotton Joggers,2-3Y,180
2 Pack Cotton Joggers,3-4Y,206
2 Pack Cotton Joggers,4-5Y,234
2 Pack Cotton Joggers,5-6Y,250
2 Pack Cotton Joggers,6-7Y,288
2 Pack Cotton Joggers,7-8Y,314
2 Pack Cotton Joggers,8-9Y,336
2 Pack Cotton Joggers,9-10Y,360
2 Pack Cotton Shorts,9-12M,114
2 Pack Cotton Shorts,12-18M,139
2 Pack Cotton Shorts,18-24M,129
2 Pack Cotton Shorts,2-3Y,152
2 Pack Cotton Shorts,3-4Y,152
2 Pack Cotton Shorts,4-5Y,167
2 Pack Cotton Shorts,5-6Y,179
2 Pack Cotton Shorts,6-7Y,180
2 Pack Cotton Shorts,7-8Y,182
2 Pack Cotton Shorts,8-9Y,202
2 Pack Cotton Shorts,9-10Y,216
2 Pack FS T-Shirt,0-3M,104
2 Pack FS T-Shirt,3-6M,116
2 Pack FS T-Shirt,6-9M,128
2 Pack FS T-Shirt,9-12M,140
2 Pack FS T-Shirt,12-18M,152
2 Pack FS T-Shirt,18-24M,164
2 Pack FS T-Shirt,2-3Y,180
2 Pack FS T-Shirt,3-4Y,194
2 Pack FS T-Shirt,4-5Y,204
2 Pack FS T-Shirt,5-6Y,218
2 Pack FS T-Shirt,6-7Y,238
2 Pack FS T-Shirt,7-8Y,266
2 Pack Full Sleeves Bodysuit,0-3M,120
2 Pack Full Sleeves Bodysuit,3-6M,124
2 Pack Full Sleeves Bodysuit,6-9M,134
2 Pack Full Sleeves Bodysuit,9-12M,146
2 Pack Full Sleeves Bodysuit,12-18M,158
2 Pack Half Sleeves Bodysuit,0-3M,102
2 Pack Half Sleeves Bodysuit,3-6M,108
2 Pack Half Sleeves Bodysuit,6-9M,122
2 Pack Half Sleeves Bodysuit,9-12M,134
2 Pack Hoodies,12-18M,540
2 Pack Hoodies,18-24M,562
2 Pack Hoodies,2-3Y,610
2 Pack Hoodies,3-4Y,658
2 Pack Hoodies,4-5Y,724
2 Pack Hoodies,5-6Y,772
2 Pack Hoodies,6-7Y,830
2 Pack Hoodies,7-8Y,864
2 Pack Interlock Joggers,9-12M,206
2 Pack Interlock Joggers,12-18M,240
2 Pack Interlock Joggers,18-24M,260
2 Pack Interlock Joggers,2-3Y,290
2 Pack Interlock Joggers,3-4Y,314
2 Pack Interlock Joggers,4-5Y,344
2 Pack Interlock Joggers,5-6Y,372
2 Pack Interlock Joggers,6-7Y,412
2 Pack Interlock Joggers,7-8Y,444
2 Pack Interlock Joggers,8-9Y,484
2 Pack Interlock Joggers,9-10Y,510
2 Pack Joggers,3-6M,174
2 Pack Joggers,6-9M,192
2 Pack Joggers,9-12M,226
2 Pack Joggers,12-18M,250
2 Pack Joggers,18-24M,292
2 Pack Joggers,2-3Y,332
2 Pack Joggers,3-4Y,366
2 Pack Joggers,4-5Y,416
2 Pack Joggers,5-6Y,442
2 Pack Joggers,6-7Y,484
